date,point_forecast,lower_80,upper_80,lower_95,upper_95
2025-03-01,112.3224850577217,99.96282794749057,124.68214216795285,93.4200206945159,131.22494942092752
2025-04-01,122.70092886118559,109.68567587581147,135.71618184655972,102.79581713033583,142.60604059203533
2025-05-01,123.64979207301204,109.89498738779531,137.40459675822876,102.61363362085388,144.6859505251702
2025-06-01,124.23454541092318,109.65957992653912,138.80951089530723,101.94405925856323,146.5250315632831
2025-07-01,119.03888349339053,103.56708071789416,134.5106862688869,95.37680306591015,142.7009639208709
2025-08-01,118.38115408634917,101.94002247352941,134.82228569916893,93.23661313101437,143.52569504168397
2025-09-01,115.50421575884104,98.02545803260128,132.9829734850808,88.77276260551189,142.23566891217018
2025-10-01,115.02676734545075,96.44612849813387,133.60740619276763,86.61013244008026,143.44340225082124
2025-11-01,106.44905375030648,86.70607313190555,126.1920343687074,76.25477050810679,136.64333699250616
2025-12-01,103.10836294938653,82.14607841625478,124.07064748251828,71.04931528932624,135.16741060944682
2026-01-01,97.01758636048405,74.78222314227531,119.25294957869278,63.01153286833602,131.02363985263207
2026-02-01,105.96062393777632,82.40128889803827,129.51995897751436,69.92973027804548,141.99151759750714
