model,model_name,model_family,seasonal_type,parameter_source,dataset,alpha,beta,gamma,MAE,MSE,RMSE,MAPE,sMAPE
HW_Add_Fixed,HW Additive (Fixed),holt_winters,additive,fixed,test,0.3,0.1,0.4,6.455640611943689,59.21196924014391,7.694931399313701,5.917111107612412,5.685933957866496
Naive,Naive,naive,NA,baseline,test,NA,NA,NA,7.233333333333332,82.02833333333335,9.056949449639948,6.659579320716377,6.495515189909808
Seasonal_Naive,Seasonal Naive,snaive,NA,baseline,test,NA,NA,NA,7.499999999999999,117.73333333333335,10.850499220466004,6.643687212362728,6.2474271330103335
HW_Add_Auto,HW Additive (Auto),holt_winters,additive,auto,test,0.43314862985604513,0.01516209084891176,0.4040251601282192,8.39552778565796,100.11509112512041,10.005752901462259,7.700364005355412,7.283362989312055
HW_Mult_Auto,HW Multiplicative (Auto),holt_winters,multiplicative,auto,test,0.4466163743008518,0.0036893751489643005,0.3208136378175499,11.680080766904771,174.7864506006737,13.220682682852415,10.46388627867559,9.81602670664563
HW_Mult_Fixed,HW Multiplicative (Fixed),holt_winters,multiplicative,fixed,test,0.4,0.2,0.3,19.368117044450937,456.6959106216969,21.37044479232234,17.574751081594325,15.846778206999856
HW_Mult_Auto,HW Multiplicative (Auto),holt_winters,multiplicative,auto,train,0.4466163743008518,0.0036893751489643005,0.3208136378175499,7.2368303271661905,87.92622227690619,9.376898329240122,7.092590649323925,7.08670088348739
HW_Add_Auto,HW Additive (Auto),holt_winters,additive,auto,train,0.43314862985604513,0.01516209084891176,0.4040251601282192,7.377072441988691,90.45543608199013,9.510806279279908,7.679104357110267,7.789874461382093
HW_Add_Fixed,HW Additive (Fixed),holt_winters,additive,fixed,train,0.3,0.1,0.4,7.462352292234207,93.96035548427992,9.693314989428535,7.867159243322567,8.060129072287769
HW_Mult_Fixed,HW Multiplicative (Fixed),holt_winters,multiplicative,fixed,train,0.4,0.2,0.3,7.820242577798397,106.51693468918648,10.320704176033072,7.636547283728888,7.584345355849359
Naive,Naive,naive,NA,baseline,train,NA,NA,NA,10.274891774891774,177.47510822510824,13.321978390055595,9.935387799200928,9.905557283667521
Seasonal_Naive,Seasonal Naive,snaive,NA,baseline,train,NA,NA,NA,13.298891352549889,307.68062084257207,17.540827256505665,14.192230802250458,13.324134161809638
