date,nstarted
Aug-85,155.6
Sep-85,141.6
Oct-85,164.9
Nov-85,119
Dec-85,117.4
Jan-86,111.2
Feb-86,102.5
Mar-86,143.8
Apr-86,182.8
May-86,180.9
Jun-86,177.3
Jul-86,164.8
Aug-86,155.7
Sep-86,145
Oct-86,150.1
Nov-86,111.1
Dec-86,110.8
Jan-87,102.7
Feb-87,98.2
Mar-87,135.4
Apr-87,151.9
May-87,153.8
Jun-87,157.5
Jul-87,144.4
Aug-87,136.4
Sep-87,144.6
Oct-87,133.7
Nov-87,114.7
Dec-87,81.6
Jan-88,76.9
Feb-88,87.2
Mar-88,126.6
Apr-88,148.6
May-88,133.6
Jun-88,145.5
Jul-88,133.2
Aug-88,132.1
Sep-88,125.1
Oct-88,130.6
Nov-88,107.9
Dec-88,91
Jan-89,95.9
Feb-89,82.8
Mar-89,112.9
Apr-89,123.8
May-89,126
Jun-89,136
Jul-89,129.5
Aug-89,117.1
Sep-89,104.8
Oct-89,120.3
Nov-89,92
Dec-89,73.2
Jan-90,96.1
Feb-90,82.1
Mar-90,104.8
Apr-90,112.8
May-90,113.8
Jun-90,113.8
Jul-90,105.4
Aug-90,94.5
Sep-90,88.5
Oct-90,87.9
Nov-90,76.1
Dec-90,55.2
Jan-91,49.6
Feb-91,55.5
Mar-91,69.5
Apr-91,94.6
May-91,92.3
Jun-91,98.5
Jul-91,98.7
Aug-91,88.4
Sep-91,81.8
Oct-91,93.7
Nov-91,70.9
Dec-91,59.7
Jan-92,67.2
Feb-92,72.7
Mar-92,104.7
Apr-92,99.8
May-92,107.2
Jun-92,108
Jul-92,98.7
Aug-92,100.6
Sep-92,96.9
Oct-92,103.2
Nov-92,79.4
Dec-92,74
Jan-93,65.6
Feb-93,68.7
Mar-93,87.1
Apr-93,109
May-93,111.7
Jun-93,118.8
Jul-93,109.2
Aug-93,114.2
Sep-93,111.4
Oct-93,115.3
Nov-93,96.2
Dec-93,92.9
Jan-94,71.4
Feb-94,79.5
Mar-94,124.2
Apr-94,127.9
May-94,139.8
Jun-94,126.9
Jul-94,118.6
Aug-94,132.2
Sep-94,120.1
Oct-94,123.9
Nov-94,107.7
Dec-94,93.8
Jan-95,82.2
Feb-95,79.7
Mar-95,100.4
Apr-95,112.6
May-95,127.8
Jun-95,118.5
Jul-95,124
Aug-95,130
Sep-95,118.7
Oct-95,121.9
Nov-95,102.8
Dec-95,90.6
Jan-96,89
Feb-96,93.6
Mar-96,110.7
Apr-96,143.9
May-96,140
Jun-96,132.5
Jul-96,133.7
Aug-96,140
Sep-96,122.6
Oct-96,127.4
Nov-96,109
Dec-96,90.4
Jan-97,80.6
Feb-97,93.1
Mar-97,115.3
Apr-97,138.5
May-97,133.2
Jun-97,136.9
Jul-97,130.6
Aug-97,124.5
Sep-97,134.6
Oct-97,131.2
Nov-97,109.8
Dec-97,104.2
Jan-98,87.3
Feb-98,98.7
Mar-98,129.3
Apr-98,139.4
May-98,139.9
Jun-98,153
Jul-98,151.3
Aug-98,143
Sep-98,136.4
Oct-98,151.3
Nov-98,120.5
Dec-98,116.2
Jan-99,104.5
Feb-99,106.8
Mar-99,142.1
Apr-99,141.1
May-99,148.4
Jun-99,144.1
Jul-99,147.1
Aug-99,150
Sep-99,135.4
Oct-99,139.5
Nov-99,124.6
Dec-99,108.6
Jan-00,102.4
Feb-00,117.5
Mar-00,128.5
Apr-00,141.9
May-00,147.8
Jun-00,142.7
Jul-00,131
Aug-00,138
Sep-00,124.8
Oct-00,136.9
Nov-00,115
Dec-00,98
Jan-01,104.6
Feb-01,104.2
Mar-01,130.1
Apr-01,147.5
May-01,148.9
Jun-01,148.4
Jul-01,150.6
Aug-01,137.4
Sep-01,129
Oct-01,136.8
Nov-01,117.5
Dec-01,103.2
Jan-02,106.8
Feb-02,118.8
Mar-02,133.6
Apr-02,145.1
May-02,161.5
Jun-02,155.8
Jul-02,152.1
Aug-02,144.1
Sep-02,149.5
Oct-02,144.7
Nov-02,129.9
Dec-02,119.8
Jan-03,115.6
Feb-03,106.6
Mar-03,141.6
Apr-03,148.7
May-03,161.8
Jun-03,170.3
Jul-03,171.5
Aug-03,160.4
Sep-03,166.8
Oct-03,169.7
Nov-03,149.6
Dec-03,137.4
Jan-04,122.4
Feb-04,124.5
Mar-04,170.8
Apr-04,177.6
May-04,185.1
Jun-04,168.3
Jul-04,180.1
Aug-04,183.2
Sep-04,160.2
Oct-04,178.3
Nov-04,136.6
Dec-04,137.6
Jan-05,141
Feb-05,146.9
Mar-05,154
Apr-05,181.5
May-05,195.1
Jun-05,190
Jul-05,185.3
Aug-05,189.1
Sep-05,184.3
Oct-05,177.8
Nov-05,159.2
Dec-05,134.2
Jan-06,151.4
Feb-06,144.4
Mar-06,162.3
Apr-06,158.7
May-06,188.4
Jun-06,166.4
Jul-06,157.8
Aug-06,143.6
Sep-06,147.3
Oct-06,129.3
Nov-06,113.7
Dec-06,110.3
Jan-07,94.1
Feb-07,101.4
Mar-07,120.8
Apr-07,134
May-07,135.2
Jun-07,134.5
Jul-07,126
Aug-07,119.2
Sep-07,98
Oct-07,113.2
Nov-07,87.9
Dec-07,66.7
Jan-08,69.4
Feb-08,76.8
Mar-08,79.9
Apr-08,88.3
May-08,90.4
Jun-08,99.7
Jul-08,85.4
Aug-08,74.9
Sep-08,72.9
Oct-08,66.5
Nov-08,47.1
Dec-08,37.2
Jan-09,30.9
Feb-09,39.1
Mar-09,41.4
Apr-09,41.6
May-09,51.2
Jun-09,57.2
Jul-09,54.7
Aug-09,52.3
Sep-09,50.5
Oct-09,43.7
Nov-09,41.2
Dec-09,35.7
Jan-10,38
Feb-10,40.2
Mar-10,53.2
Apr-10,60.7
May-10,55.1
Jun-10,52.5
Jul-10,50.6
Aug-10,55.9
Sep-10,51.3
Oct-10,44.8
Nov-10,39.6
Dec-10,32.8
Jan-11,39.5
Feb-11,34.8
Mar-11,49.3
Apr-11,47.7
May-11,53.1
Jun-11,59.2
Jul-11,56.1
Aug-11,53.9
Sep-11,57.7
Oct-11,52.6
Nov-11,52.5
Dec-11,41.7
Jan-12,46.8
Feb-12,49.1
Mar-12,57.3
Apr-12,66.2
May-12,66.9
Jun-12,73.1
Jul-12,68.3
Aug-12,67.2
Sep-12,74.6
Oct-12,76.4
Nov-12,61.7
Dec-12,62.8
Jan-13,58.2
Feb-13,65.2
Mar-13,82.3
Apr-13,75.6
May-13,86.3
Jun-13,79.8
Jul-13,83.1
Aug-13,80
Sep-13,77.6
Oct-13,77.2
Nov-13,83
Dec-13,66.8
Jan-14,60
Feb-14,64.4
Mar-14,79.4
Apr-14,94
May-14,91.6
Jun-14,85.9
Jul-14,99.9
Aug-14,85.2
Sep-14,92.5
Oct-14,91.4
Nov-14,75.2
Dec-14,71.9
Jan-15,72.6
Feb-15,61.1
Mar-15,79
Apr-15,107.6
May-15,98.8
Jun-15,111.3
Jul-15,106.3
Aug-15,98.7
Sep-15,110.3
Oct-15,90.1
Nov-15,89.2
Dec-15,77.2
Jan-16,73.7
Feb-16,83.3
Mar-16,89.2
Apr-16,105.5
May-16,103.4
Jun-16,110.5
Jul-16,114.3
Aug-16,101.8
Sep-16,93.1
Oct-16,113.5
Nov-16,86.9
Dec-16,86
Jan-17,81.6
Feb-17,87.2
Mar-17,95.7
Apr-17,104.8
May-17,105.3
Jun-17,114.8
Jul-17,111.4
Aug-17,101.2
Sep-17,103.4
Oct-17,108.7
Nov-17,97.2
Dec-17,80.5
Jan-18,90.5
Feb-18,89.4
Mar-18,105.8
Apr-18,117
May-18,122.8
Jun-18,110.8
Jul-18,110.7
Aug-18,113.4
Sep-18,108.7
Oct-18,105.5
Nov-18,90.6
Dec-18,75.3
Jan-19,86.2
Feb-19,79
Mar-19,97.2
Apr-19,116.2
May-19,117.4
Jun-19,113.9
Jul-19,113.8
Aug-19,120.3
Sep-19,112.2
Oct-19,114
Nov-19,102.7
Dec-19,107
Jan-20,112.7
Feb-20,111.4
Mar-20,104.2
Apr-20,84.6
May-20,94.8
Jun-20,118.6
Jul-20,137.7
Aug-20,121.5
Sep-20,124.5
Oct-20,130.5
Nov-20,116.7
Dec-20,114.5
Jan-21,113.8
Feb-21,101.3
Mar-21,138.9
Apr-21,134.5
May-21,144.5
Jun-21,152.7
Jul-21,142.1
Aug-21,138.7
Sep-21,134.3
Oct-21,132.2
Nov-21,130
Dec-21,123.4
Jan-22,120.3
Feb-22,125
Mar-22,141.8
Apr-22,163.7
May-22,139.4
Jun-22,143.9
Jul-22,122.8
Aug-22,133.5
Sep-22,126.7
Oct-22,121.2
Nov-22,110.6
Dec-22,93.9
Jan-23,97.2
Feb-23,102.7
Mar-23,113.3
Apr-23,121.6
May-23,145.8
Jun-23,132.2
Jul-23,131.3
Aug-23,115.4
Sep-23,116.6
Oct-23,114.7
Nov-23,116.1
Dec-23,107.8
Jan-24,97.6
Feb-24,113.4
Mar-24,109.3
Apr-24,125.4
May-24,119.9
Jun-24,122.9
Jul-24,114.6
Aug-24,121.1
Sep-24,115.6
Oct-24,114.8
Nov-24,99
Dec-24,107.7
Jan-25,94
Feb-25,110.7
